ids,time_id,treated_group,post,y_instant,y_instant2,y_dynamic,y_dynamic2
1,1,FALSE,FALSE,-2.8974581899013927,-2.8974581899013927,-2.8974581899013927,-2.8974581899013927
1,2,FALSE,FALSE,-3.885772826843769,-3.885772826843769,-3.885772826843769,-3.885772826843769
1,3,FALSE,FALSE,-4.888173482064181,-4.888173482064181,-4.888173482064181,-4.888173482064181
1,4,FALSE,FALSE,-6.110700445652862,-6.110700445652862,-6.110700445652862,-6.110700445652862
1,5,FALSE,TRUE,-5.454498765901243,-5.454498765901243,-5.454498765901243,-5.454498765901243
1,6,FALSE,TRUE,-6.50768573409789,-6.50768573409789,-6.50768573409789,-6.50768573409789
1,7,FALSE,TRUE,-7.436560062296848,-7.436560062296848,-7.436560062296848,-7.436560062296848
1,8,FALSE,TRUE,-8.445186312756407,-8.445186312756407,-8.445186312756407,-8.445186312756407
1,9,FALSE,TRUE,-9.336335094490847,-9.336335094490847,-9.336335094490847,-9.336335094490847
1,10,FALSE,TRUE,-10.305874211859184,-10.305874211859184,-10.305874211859184,-10.305874211859184
2,1,TRUE,FALSE,-0.4406664113566041,0.059333588643395885,-0.4406664113566041,0.059333588643395885
2,2,TRUE,FALSE,-1.5759621335251643,-2.0759621335251643,-1.5759621335251643,-2.0759621335251643
2,3,TRUE,FALSE,-2.6267062947460835,-2.1267062947460835,-2.6267062947460835,-2.1267062947460835
2,4,TRUE,FALSE,-3.5623313943758097,-4.06233139437581,-3.5623313943758097,-4.06233139437581
2,5,TRUE,TRUE,-2.8107609847544834,-2.3107609847544834,-3.8107609847544834,-3.3107609847544834
2,6,TRUE,TRUE,-3.7775872734220357,-4.277587273422036,-3.7775872734220357,-4.277587273422036
2,7,TRUE,TRUE,-4.6588249609160615,-4.1588249609160615,-3.6588249609160615,-3.1588249609160615
2,8,TRUE,TRUE,-5.718469312159897,-6.218469312159897,-3.718469312159897,-4.218469312159897
2,9,TRUE,TRUE,-6.862303566313082,-6.362303566313082,-4.862303566313082,-4.362303566313082
2,10,TRUE,TRUE,-7.753305965473771,-8.253305965473771,-5.753305965473771,-6.253305965473771
3,1,TRUE,FALSE,0.4351999603673758,0.9351999603673757,0.4351999603673758,0.9351999603673757
3,2,TRUE,FALSE,-0.6476132313779168,-1.1476132313779168,-0.6476132313779168,-1.1476132313779168
3,3,TRUE,FALSE,-1.4396704088286258,-0.9396704088286258,-1.4396704088286258,-0.9396704088286258
3,4,TRUE,FALSE,-2.447536223440361,-2.947536223440361,-2.447536223440361,-2.947536223440361
3,5,TRUE,TRUE,-3.025486466339073,-2.525486466339073,-4.025486466339073,-3.525486466339073
3,6,TRUE,TRUE,-4.175624723988599,-4.675624723988599,-4.175624723988599,-4.675624723988599
3,7,TRUE,TRUE,-5.230460172459523,-4.730460172459523,-4.230460172459523,-3.7304601724595234
3,8,TRUE,TRUE,-6.237048781678104,-6.737048781678104,-4.237048781678104,-4.737048781678104
3,9,TRUE,TRUE,-7.397074470376787,-6.897074470376787,-5.397074470376787,-4.897074470376787
3,10,TRUE,TRUE,-8.236949100900384,-8.736949100900384,-6.236949100900384,-6.736949100900384
4,1,FALSE,FALSE,-3.432178917633169,-3.432178917633169,-3.432178917633169,-3.432178917633169
4,2,FALSE,FALSE,-4.375509753177388,-4.375509753177388,-4.375509753177388,-4.375509753177388
4,3,FALSE,FALSE,-5.3038225970595345,-5.3038225970595345,-5.3038225970595345,-5.3038225970595345
4,4,FALSE,FALSE,-6.449131905776315,-6.449131905776315,-6.449131905776315,-6.449131905776315
4,5,FALSE,TRUE,-7.74682147566336,-7.74682147566336,-7.74682147566336,-7.74682147566336
4,6,FALSE,TRUE,-8.82652845160772,-8.82652845160772,-8.82652845160772,-8.82652845160772
4,7,FALSE,TRUE,-10.082350618434054,-10.082350618434054,-10.082350618434054,-10.082350618434054
4,8,FALSE,TRUE,-10.84614715211307,-10.84614715211307,-10.84614715211307,-10.84614715211307
4,9,FALSE,TRUE,-11.83612948752948,-11.83612948752948,-11.83612948752948,-11.83612948752948
4,10,FALSE,TRUE,-12.87750120679248,-12.87750120679248,-12.87750120679248,-12.87750120679248
5,1,TRUE,FALSE,-1.4697510110422483,-0.9697510110422483,-1.4697510110422483,-0.9697510110422483
5,2,TRUE,FALSE,-2.4330923386813517,-2.9330923386813517,-2.4330923386813517,-2.9330923386813517
5,3,TRUE,FALSE,-3.289814923433423,-2.789814923433423,-3.289814923433423,-2.789814923433423
5,4,TRUE,FALSE,-4.3638248463931735,-4.8638248463931735,-4.3638248463931735,-4.8638248463931735
5,5,TRUE,TRUE,-2.373511816690063,-1.873511816690063,-3.373511816690063,-2.873511816690063
5,6,TRUE,TRUE,-3.2975712865921345,-3.7975712865921345,-3.2975712865921345,-3.7975712865921345
5,7,TRUE,TRUE,-4.426198673200953,-3.926198673200953,-3.426198673200953,-2.926198673200953
5,8,TRUE,TRUE,-5.239920223358241,-5.73992022335824,-3.239920223358241,-3.73992022335824
5,9,TRUE,TRUE,-6.145851620567072,-5.645851620567072,-4.145851620567072,-3.645851620567072
5,10,TRUE,TRUE,-7.300460170723147,-7.800460170723147,-5.300460170723147,-5.800460170723147
6,1,TRUE,FALSE,-0.48796837505206586,0.012031624947934152,-0.48796837505206586,0.012031624947934152
6,2,TRUE,FALSE,-1.2894723078088943,-1.7894723078088943,-1.2894723078088943,-1.7894723078088943
6,3,TRUE,FALSE,-2.2270906021359127,-1.7270906021359127,-2.2270906021359127,-1.7270906021359127
6,4,TRUE,FALSE,-3.2472482993888563,-3.7472482993888563,-3.2472482993888563,-3.7472482993888563
6,5,TRUE,TRUE,-4.610453338107746,-4.110453338107747,-5.610453338107746,-5.110453338107747
6,6,TRUE,TRUE,-5.586991764909957,-6.086991764909957,-5.586991764909957,-6.086991764909957
6,7,TRUE,TRUE,-6.568973712533459,-6.068973712533459,-5.568973712533459,-5.068973712533459
6,8,TRUE,TRUE,-7.586714782007981,-8.08671478200798,-5.586714782007981,-6.086714782007981
6,9,TRUE,TRUE,-8.487883664967393,-7.987883664967393,-6.487883664967393,-5.987883664967393
6,10,TRUE,TRUE,-9.421198657345693,-9.921198657345693,-7.421198657345694,-7.921198657345694
7,1,FALSE,FALSE,-0.2037152027937641,-0.2037152027937641,-0.2037152027937641,-0.2037152027937641
7,2,FALSE,FALSE,-1.5410971062981684,-1.5410971062981684,-1.5410971062981684,-1.5410971062981684
7,3,FALSE,FALSE,-2.3254001526555355,-2.3254001526555355,-2.3254001526555355,-2.3254001526555355
7,4,FALSE,FALSE,-3.507351666938367,-3.507351666938367,-3.507351666938367,-3.507351666938367
7,5,FALSE,TRUE,-6.2038337887368495,-6.2038337887368495,-6.2038337887368495,-6.2038337887368495
7,6,FALSE,TRUE,-6.905257566976232,-6.905257566976232,-6.905257566976232,-6.905257566976232
7,7,FALSE,TRUE,-8.03697354950732,-8.03697354950732,-8.03697354950732,-8.03697354950732
7,8,FALSE,TRUE,-8.950662634322676,-8.950662634322676,-8.950662634322676,-8.950662634322676
7,9,FALSE,TRUE,-10.099535315824522,-10.099535315824522,-10.099535315824522,-10.099535315824522
7,10,FALSE,TRUE,-11.078207290079096,-11.078207290079096,-11.078207290079096,-11.078207290079096
